year,state,county_name,county_fips,party,candidatevotes,totalvotes
2004,MINNESOTA,SIBLEY,27143,DEMOCRAT,3109,7949
2016,ALABAMA,CHOCTAW,1023,DEMOCRAT,3109,7292
2020,MISSOURI,RAY,29177,DEMOCRAT,3109,11649
2020,TEXAS,WILLACY,48489,DEMOCRAT,3108,5549
2020,MISSISSIPPI,TALLAHATCHIE,28135,DEMOCRAT,3105,5685
2000,MISSISSIPPI,JASPER,28061,DEMOCRAT,3104,6447
2004,MINNESOTA,REDWOOD,27127,DEMOCRAT,3104,8139
2012,OREGON,CROOK,41013,DEMOCRAT,3104,10230
2008,LOUISIANA,UNION,22111,DEMOCRAT,3103,10868
2020,SOUTH CAROLINA,NEWBERRY,45071,DEMOCRAT,3103,18631
2000,GEORGIA,JONES,13169,DEMOCRAT,3102,8068
2008,GEORGIA,PUTNAM,13237,DEMOCRAT,3102,9132
2008,IOWA,WRIGHT,19197,DEMOCRAT,3102,6395
2016,MINNESOTA,DODGE,27039,DEMOCRAT,3102,10654
2008,GEORGIA,LEE,13177,DEMOCRAT,3100,13087
2008,LOUISIANA,MADISON,22065,DEMOCRAT,3100,5300
2016,MAINE,PISCATAQUIS,23021,DEMOCRAT,3098,9182
2008,MINNESOTA,ROSEAU,27135,DEMOCRAT,3097,7700
2000,ARKANSAS,CROSS,5037,DEMOCRAT,3096,6215
2012,ALASKA,DISTRICT 2,2002,DEMOCRAT,3096,9058
2008,ALASKA,DISTRICT 19,2019,DEMOCRAT,3095,7372
2000,ALABAMA,RANDOLPH,1111,DEMOCRAT,3094,7919
2000,MISSISSIPPI,UNION,28145,DEMOCRAT,3094,9311
2008,INDIANA,FOUNTAIN,18045,DEMOCRAT,3094,7410
2012,VIRGINIA,BUCHANAN,51027,DEMOCRAT,3094,9646
2020,KENTUCKY,LOGAN,21141,DEMOCRAT,3094,12346
2000,IOWA,MADISON,19121,DEMOCRAT,3093,6969
2004,ILLINOIS,EDGAR,17045,DEMOCRAT,3093,8429
2008,CALIFORNIA,MONO,6051,DEMOCRAT,3093,5571
2000,KENTUCKY,MERCER,21167,DEMOCRAT,3092,8632
2004,GEORGIA,GRADY,13131,DEMOCRAT,3092,8191
2008,GEORGIA,MORGAN,13211,DEMOCRAT,3091,9151
2016,NEW YORK,SCHUYLER,36097,DEMOCRAT,3091,8772
2012,ILLINOIS,PIATT,17147,DEMOCRAT,3090,8707
2016,MISSOURI,RAY,29177,DEMOCRAT,3090,10869
2020,ILLINOIS,WARREN,17187,DEMOCRAT,3090,7909
2004,LOUISIANA,UNION,22111,DEMOCRAT,3089,10718
2012,MISSISSIPPI,NESHOBA,28099,DEMOCRAT,3089,11015
2020,ARKANSAS,UNION,5139,DEMOCRAT,3088,16607
2008,NEW MEXICO,TORRANCE,35057,DEMOCRAT,3087,6941
2016,OKLAHOMA,STEPHENS,40137,DEMOCRAT,3086,17904
2020,NORTH CAROLINA,FRANKLIN,37069,DEMOCRAT,3086,37351
2020,VIRGINIA,WESTMORELAND,51193,DEMOCRAT,3086,9948
2004,TENNESSEE,SCOTT,47151,DEMOCRAT,3085,7626
2008,GEORGIA,CRISP,13081,DEMOCRAT,3085,7550
2012,TEXAS,VAN ZANDT,48467,DEMOCRAT,3084,19100
2016,IOWA,IOWA,19095,DEMOCRAT,3084,8904
2012,ALABAMA,HENRY,1067,DEMOCRAT,3083,8760
2012,MINNESOTA,CHIPPEWA,27023,DEMOCRAT,3083,6201
2016,ILLINOIS,EFFINGHAM,17049,DEMOCRAT,3083,17609
2020,SOUTH DAKOTA,CLAY,46027,DEMOCRAT,3083,5698
2004,LOUISIANA,RICHLAND,22083,DEMOCRAT,3082,8665
2020,ARKANSAS,CRAWFORD,5033,DEMOCRAT,3082,24091
2020,NORTH CAROLINA,CLEVELAND,37045,DEMOCRAT,3082,51308
2008,ILLINOIS,MARSHALL,17123,DEMOCRAT,3081,6333
2012,ALASKA,DISTRICT 20,2020,DEMOCRAT,3081,7964
2008,MICHIGAN,IRON,26071,DEMOCRAT,3080,6162
2016,ALABAMA,CONECUH,1035,DEMOCRAT,3080,6585
2016,LOUISIANA,JEFFERSON DAVIS,22053,DEMOCRAT,3080,14277
2016,NORTH DAKOTA,MORTON,38059,DEMOCRAT,3080,15832
2020,IOWA,JACKSON,19097,DEMOCRAT,3080,11135
2020,SOUTH CAROLINA,OCONEE,45073,DEMOCRAT,3080,40668
2020,NORTH CAROLINA,ONSLOW,37133,DEMOCRAT,3079,72235
2008,TENNESSEE,CLAIBORNE,47025,DEMOCRAT,3078,10420
2012,ALABAMA,RANDOLPH,1111,DEMOCRAT,3078,10398
2016,MINNESOTA,LAKE,27075,DEMOCRAT,3077,6521
2000,FLORIDA,BRADFORD,12007,DEMOCRAT,3075,8673
2012,KENTUCKY,BOURBON,21017,DEMOCRAT,3075,7923
2012,LOUISIANA,UNION,22111,DEMOCRAT,3075,10766
2020,MISSISSIPPI,NEWTON,28101,DEMOCRAT,3075,10183
2008,KENTUCKY,KNOX,21121,DEMOCRAT,3074,11389
2020,ALABAMA,CHILTON,1021,DEMOCRAT,3073,19310
